Time;UV Detector (Raw V);UV Detector (Cal);Blue Detector (Raw V);Blue Detector (Cal);IR Detector 1 (Raw V);IR Detector 1 (Cal);IR Detector 2 (Raw V);IR Detector 2 (Cal)
2025-09-15 10:14:29.111009;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.111009;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.261419;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.261419;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.350202;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.350202;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.470196;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.470196;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.711333;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.711333;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.815693;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.815693;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.922246;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:29.922246;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:30.070258;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:30.070258;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:30.250494;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:30.250494;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:30.370581;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:30.370581;0,000;;0,000;;0,000;;0,000;
2025-09-15 10:14:30.505392;0,000;;0,000;;0,000;;0,000;
